filename,prompt
1-assiettes/assiette-pita.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Assiette ""Assiette Pita"" généreuse avec frites dorées et garniture fraîche."
1-assiettes/assiette-poulet-marine.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Assiette ""Assiette Poulet mariné"" généreuse avec frites dorées et garniture fraîche."
1-assiettes/assiette-kefta.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Assiette ""Assiette Kefta"" généreuse avec frites dorées et garniture fraîche."
1-assiettes/assiette-merguez.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Assiette ""Assiette Merguez"" généreuse avec frites dorées et garniture fraîche."
1-assiettes/assiette-brochette-b-uf.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Assiette ""Assiette Brochette bœuf"" généreuse avec frites dorées et garniture fraîche."
1-assiettes/assiette-brochette-agneau.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Boisson rafraîchissante ""Assiette Brochette agneau"", bouteille ou canette nette avec condensation légère."
1-assiettes/assiette-brochette-poulet.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Assiette ""Assiette Brochette poulet"" généreuse avec frites dorées et garniture fraîche."
1-assiettes/assiette-brochette-dinde.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Assiette ""Assiette Brochette dinde"" généreuse avec frites dorées et garniture fraîche."
1-assiettes/assiette-brochette-grizzly.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Assiette ""Assiette Brochette grizzly"" généreuse avec frites dorées et garniture fraîche."
1-assiettes/assiette-brochette-pilon.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Assiette ""Assiette Brochette pilon"" généreuse avec frites dorées et garniture fraîche."
1-assiettes/assiette-escalope-dinde.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Assiette ""Assiette Escalope dinde"" généreuse avec frites dorées et garniture fraîche."
1-assiettes/assiette-croquette-fromage.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Assiette ""Assiette Croquette fromage"" généreuse avec frites dorées et garniture fraîche."
1-assiettes/assiette-americain.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Assiette ""Assiette Américain"" généreuse avec frites dorées et garniture fraîche."
1-assiettes/assiette-crudites.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Assiette ""Assiette Crudités"" généreuse avec frites dorées et garniture fraîche."
2-durums/durum-poulet.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Dürüm ""Dürüm Poulet"" roulé, galette chaude et garniture visible."
2-durums/durum-pita.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Dürüm ""Dürüm Pita"" roulé, galette chaude et garniture visible."
2-durums/durum-mixte.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Dürüm ""Dürüm Mixte"" roulé, galette chaude et garniture visible."
2-durums/durum-hawai.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Dürüm ""Dürüm Hawaï"" roulé, galette chaude et garniture visible."
2-durums/durum-vegetarien.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Dürüm ""Dürüm Végétarien"" roulé, galette chaude et garniture visible."
2-durums/durum-tenders.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Dürüm ""Dürüm Tenders"" roulé, galette chaude et garniture visible."
3-sandwichs/sandwich-jambon.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Sandwich ""Sandwich Jambon"" bien garni, pain frais et ingrédients visibles."
3-sandwichs/sandwich-fromage.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Sandwich ""Sandwich Fromage"" bien garni, pain frais et ingrédients visibles."
3-sandwichs/sandwich-dagobert.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Sandwich ""Sandwich Dagobert"" bien garni, pain frais et ingrédients visibles."
3-sandwichs/sandwich-americain.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Sandwich ""Sandwich Américain"" bien garni, pain frais et ingrédients visibles."
3-sandwichs/sandwich-thon-mayo-poulet.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Sandwich ""Sandwich Thon mayo poulet"" bien garni, pain frais et ingrédients visibles."
4-hamburgers/hamburger-poulet.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Hamburger ""Hamburger Poulet"" gourmet avec pain moelleux et garniture généreuse."
4-hamburgers/hamburger-dinde.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Hamburger ""Hamburger Dinde"" gourmet avec pain moelleux et garniture généreuse."
4-hamburgers/fish-burger.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Hamburger ""Fish Burger"" gourmet avec pain moelleux et garniture généreuse."
4-hamburgers/hamburger-b-uf.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Hamburger ""Hamburger Bœuf"" gourmet avec pain moelleux et garniture généreuse."
4-hamburgers/hamburger-kefta.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Hamburger ""Hamburger Kefta"" gourmet avec pain moelleux et garniture généreuse."
4-hamburgers/hamburger-geant.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Hamburger ""Hamburger Géant"" gourmet avec pain moelleux et garniture généreuse."
4-hamburgers/maestro-bacon.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Hamburger ""Maestro Bacon"" gourmet avec pain moelleux et garniture généreuse."
5-mitraillettes/mitraillette-hamburger.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Mitraillette ""Mitraillette Hamburger"" dans demi-baguette, frites croustillantes visibles."
5-mitraillettes/mitraillette-fricadelle.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Mitraillette ""Mitraillette Fricadelle"" dans demi-baguette, frites croustillantes visibles."
5-mitraillettes/mitraillette-boulette.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Mitraillette ""Mitraillette Boulette"" dans demi-baguette, frites croustillantes visibles."
5-mitraillettes/mitraillette-cervelas.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Mitraillette ""Mitraillette Cervelas"" dans demi-baguette, frites croustillantes visibles."
5-mitraillettes/mitraillette-dinde.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Mitraillette ""Mitraillette Dinde"" dans demi-baguette, frites croustillantes visibles."
5-mitraillettes/mitraillette-poisson.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Mitraillette ""Mitraillette Poisson"" dans demi-baguette, frites croustillantes visibles."
5-mitraillettes/mitraillette-vegetarien.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Mitraillette ""Mitraillette Végétarien"" dans demi-baguette, frites croustillantes visibles."
5-mitraillettes/mitraillette-mexicanos.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Mitraillette ""Mitraillette Mexicanos"" dans demi-baguette, frites croustillantes visibles."
5-mitraillettes/mitraillette-viandelle.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Mitraillette ""Mitraillette Viandelle"" dans demi-baguette, frites croustillantes visibles."
5-mitraillettes/mitraillette-poulycroc.png,"Photographie culinaire ultra réaliste, style pub premium, fond blanc, éclairage studio doux, texture nette, pas de logo/texte/marque. Mitraillette ""Mitraillette Poulycroc"" dans demi-baguette, frites croustillantes visibles."
